,State 0: Normal/Mild kidney function,State 1: Moderate kidney dysfunction,State 2: Severe kidney dysfunction,State 3: Kidney failure range
State 0: Normal/Mild kidney function,0.9564202334630351,0.038910505836575876,0.0038910505836575876,0.0007782101167315176
State 1: Moderate kidney dysfunction,0.10338345864661654,0.8120300751879699,0.08082706766917293,0.0037593984962406013
State 2: Severe kidney dysfunction,0.006060606060606061,0.11818181818181818,0.796969696969697,0.07878787878787878
State 3: Kidney failure range,0.007518796992481203,0.007518796992481203,0.18045112781954886,0.8045112781954887
